%Warning: /home/hassan/Documents/nucleusrv/riscv-arch-test/work/rv32i/I-ADD-01.elf.data.hex:0: $readmem file not found
ClkCycle:          6, pc_rdata: 00000000, pc_wdata: 00000004, insn: 0440006f, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  4, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000004, mem_addr: 00000044, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         44, pc_rdata: 000000d4, pc_wdata: 000000d8, insn: b6f58593, mode: 3, rs1_addr: 11, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 11, rd_wdata: ab7fbb6f, mem_addr: ab7fbb6f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         45, pc_rdata: 000000d8, pc_wdata: 000000dc, insn: d5bfe637, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 12, rd_wdata: d5bfe000, mem_addr: d5bfe000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         46, pc_rdata: 000000dc, pc_wdata: 000000e0, insn: db760613, mode: 3, rs1_addr: 12, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: 00000000, rd_addr: 12, rd_wdata: d5bfddb7, mem_addr: d5bfddb7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         47, pc_rdata: 000000e0, pc_wdata: 000000e4, insn: eadff6b7, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: 00000000, rd_addr: 13, rd_wdata: eadff000, mem_addr: eadff000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         48, pc_rdata: 000000e4, pc_wdata: 000000e8, insn: edb68693, mode: 3, rs1_addr: 13, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 13, rd_wdata: eadfeedb, mem_addr: eadfeedb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         49, pc_rdata: 000000e8, pc_wdata: 000000ec, insn: f56ff737, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 22, rs2_rdata: 00000000, rd_addr: 14, rd_wdata: f56ff000, mem_addr: f56ff000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         50, pc_rdata: 000000ec, pc_wdata: 000000f0, insn: 76d70713, mode: 3, rs1_addr: 14, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: eadff000, rd_addr: 14, rd_wdata: f56ff76d, mem_addr: f56ff76d, mem_rdata: 00000000, mem_wdata: eadfeedb
ClkCycle:         51, pc_rdata: 000000f0, pc_wdata: 000000f4, insn: fab807b7, mode: 3, rs1_addr: 16, rs1_rdata: 00000000, rs2_addr: 11, rs2_rdata: ab7fbb6f, rd_addr: 15, rd_wdata: fab80000, mem_addr: fab80000, mem_rdata: 00000000, mem_wdata: ab7fbb6f
ClkCycle:         52, pc_rdata: 000000f4, pc_wdata: 000000f8, insn: bb678793, mode: 3, rs1_addr: 15, rs1_rdata: 00000000, rs2_addr: 22, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: fab7fbb6, mem_addr: fab7fbb6, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         53, pc_rdata: 000000f8, pc_wdata: 000000fc, insn: 7d5c0837, mode: 3, rs1_addr: 24, rs1_rdata: 00000000, rs2_addr: 21, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 7d5c0000, mem_addr: 7d5c0000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         54, pc_rdata: 000000fc, pc_wdata: 00000100, insn: ddb80813, mode: 3, rs1_addr: 16, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 7d5bfddb, mem_addr: 7d5bfddb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         55, pc_rdata: 00000100, pc_wdata: 00000104, insn: beae08b7, mode: 3, rs1_addr: 28, rs1_rdata: 00000000, rs2_addr: 10, rs2_rdata: 56ff76df, rd_addr: 17, rd_wdata: beae0000, mem_addr: beae0000, mem_rdata: 00000000, mem_wdata: 56ff76df
ClkCycle:         56, pc_rdata: 00000104, pc_wdata: 00000108, insn: eed88893, mode: 3, rs1_addr: 17, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: eadfeedb, rd_addr: 17, rd_wdata: beadfeed, mem_addr: beadfeed, mem_rdata: 00000000, mem_wdata: eadfeedb
ClkCycle:         57, pc_rdata: 00000108, pc_wdata: 0000010c, insn: df570937, mode: 3, rs1_addr: 14, rs1_rdata: f56ff76d, rs2_addr: 21, rs2_rdata: 00000000, rd_addr: 18, rd_wdata: df570000, mem_addr: df570000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         58, pc_rdata: 0000010c, pc_wdata: 00000110, insn: f7690913, mode: 3, rs1_addr: 18, rs1_rdata: 00000000, rs2_addr: 22, rs2_rdata: 00000000, rd_addr: 18, rd_wdata: df56ff76, mem_addr: df56ff76, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         59, pc_rdata: 00000110, pc_wdata: 00000114, insn: 6fab89b7, mode: 3, rs1_addr: 23, rs1_rdata: 00000000, rs2_addr: 26, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: 6fab8000, mem_addr: 6fab8000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         60, pc_rdata: 00000114, pc_wdata: 00000118, insn: fbb98993, mode: 3, rs1_addr: 19, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: 6fab7fbb, mem_addr: 6fab7fbb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         61, pc_rdata: 00000118, pc_wdata: 0000011c, insn: b7d5ca37, mode: 3, rs1_addr: 11, rs1_rdata: ab7fbb6f, rs2_addr: 29, rs2_rdata: 00000000, rd_addr: 20, rd_wdata: b7d5c000, mem_addr: b7d5c000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         62, pc_rdata: 0000011c, pc_wdata: 00000120, insn: fdda0a13, mode: 3, rs1_addr: 20, rs1_rdata: 00000000, rs2_addr: 29, rs2_rdata: 00000000, rd_addr: 20, rd_wdata: b7d5bfdd, mem_addr: b7d5bfdd, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         63, pc_rdata: 00000120, pc_wdata: 00000124, insn: dbeaeab7, mode: 3, rs1_addr: 21, rs1_rdata: 00000000, rs2_addr: 30, rs2_rdata: 00000000, rd_addr: 21, rd_wdata: dbeae000, mem_addr: dbeae000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         64, pc_rdata: 00000124, pc_wdata: 00000128, insn: feea8a93, mode: 3, rs1_addr: 21, rs1_rdata: 00000000, rs2_addr: 14, rs2_rdata: f56ff76d, rd_addr: 21, rd_wdata: dbeadfee, mem_addr: dbeadfee, mem_rdata: 00000000, mem_wdata: f56ff76d
ClkCycle:         65, pc_rdata: 00000128, pc_wdata: 0000012c, insn: 6df57b37, mode: 3, rs1_addr: 10, rs1_rdata: 56ff76df, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 22, rd_wdata: 6df57000, mem_addr: 6df57000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         66, pc_rdata: 0000012c, pc_wdata: 00000130, insn: ff7b0b13, mode: 3, rs1_addr: 22, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: 00000000, rd_addr: 22, rd_wdata: 6df56ff7, mem_addr: 6df56ff7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         67, pc_rdata: 00000130, pc_wdata: 00000134, insn: b6fabbb7, mode: 3, rs1_addr: 21, rs1_rdata: dbeadfee, rs2_addr: 15, rs2_rdata: fab7fbb6, rd_addr: 23, rd_wdata: b6fab000, mem_addr: b6fab000, mem_rdata: 00000000, mem_wdata: fab7fbb6
ClkCycle:         68, pc_rdata: 00000134, pc_wdata: 00000138, insn: 7fbb8b93, mode: 3, rs1_addr: 23, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 23, rd_wdata: b6fab7fb, mem_addr: b6fab7fb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         69, pc_rdata: 00000138, pc_wdata: 0000013c, insn: db7d6c37, mode: 3, rs1_addr: 26, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: 00000000, rd_addr: 24, rd_wdata: db7d6000, mem_addr: db7d6000, mem_rdata: 00000000, mem_wdata: b6fab7fb
ClkCycle:         70, pc_rdata: 0000013c, pc_wdata: 00000140, insn: bfdc0c13, mode: 3, rs1_addr: 24, rs1_rdata: 00000000, rs2_addr: 29, rs2_rdata: 00000000, rd_addr: 24, rd_wdata: db7d5bfd, mem_addr: db7d5bfd, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         71, pc_rdata: 00000140, pc_wdata: 00000144, insn: edbebcb7, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 25, rd_wdata: edbeb000, mem_addr: edbeb000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         72, pc_rdata: 00000144, pc_wdata: 00000148, insn: dfec8c93, mode: 3, rs1_addr: 25, rs1_rdata: 00000000, rs2_addr: 30, rs2_rdata: 00000000, rd_addr: 25, rd_wdata: edbeadfe, mem_addr: edbeadfe, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         73, pc_rdata: 00000148, pc_wdata: 0000014c, insn: 76df5d37, mode: 3, rs1_addr: 30, rs1_rdata: 00000000, rs2_addr: 13, rs2_rdata: eadfeedb, rd_addr: 26, rd_wdata: 76df5000, mem_addr: 76df5000, mem_rdata: 00000000, mem_wdata: eadfeedb
ClkCycle:         74, pc_rdata: 0000014c, pc_wdata: 00000150, insn: 6ffd0d13, mode: 3, rs1_addr: 26, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 26, rd_wdata: 76df56ff, mem_addr: 76df56ff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         75, pc_rdata: 00000150, pc_wdata: 00000154, insn: bb6fbdb7, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 22, rs2_rdata: 6df56ff7, rd_addr: 27, rd_wdata: bb6fb000, mem_addr: bb6fb000, mem_rdata: 00000000, mem_wdata: 6df56ff7
ClkCycle:         76, pc_rdata: 00000154, pc_wdata: 00000158, insn: b7fd8d93, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 27, rd_wdata: bb6fab7f, mem_addr: bb6fab7f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         77, pc_rdata: 00000158, pc_wdata: 0000015c, insn: ddb7de37, mode: 3, rs1_addr: 15, rs1_rdata: fab7fbb6, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 28, rd_wdata: ddb7d000, mem_addr: ddb7d000, mem_rdata: 00000000, mem_wdata: bb6fab7f
ClkCycle:         78, pc_rdata: 0000015c, pc_wdata: 00000160, insn: 5bfe0e13, mode: 3, rs1_addr: 28, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 28, rd_wdata: ddb7d5bf, mem_addr: ddb7d5bf, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         79, pc_rdata: 00000160, pc_wdata: 00000164, insn: eedbfeb7, mode: 3, rs1_addr: 23, rs1_rdata: b6fab7fb, rs2_addr: 13, rs2_rdata: eadfeedb, rd_addr: 29, rd_wdata: eedbf000, mem_addr: eedbf000, mem_rdata: 00000000, mem_wdata: eadfeedb
ClkCycle:         80, pc_rdata: 00000164, pc_wdata: 00000168, insn: adfe8e93, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 29, rd_wdata: eedbeadf, mem_addr: eedbeadf, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         81, pc_rdata: 00000168, pc_wdata: 0000016c, insn: f76dff37, mode: 3, rs1_addr: 27, rs1_rdata: bb6fab7f, rs2_addr: 22, rs2_rdata: 6df56ff7, rd_addr: 30, rd_wdata: f76df000, mem_addr: f76df000, mem_rdata: 00000000, mem_wdata: 6df56ff7
ClkCycle:         82, pc_rdata: 0000016c, pc_wdata: 00000170, insn: 56ff0f13, mode: 3, rs1_addr: 30, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: fab7fbb6, rd_addr: 30, rd_wdata: f76df56f, mem_addr: f76df56f, mem_rdata: 00000000, mem_wdata: fab7fbb6
ClkCycle:         83, pc_rdata: 00000170, pc_wdata: 00000174, insn: fbb70fb7, mode: 3, rs1_addr: 14, rs1_rdata: f56ff76d, rs2_addr: 27, rs2_rdata: bb6fab7f, rd_addr: 31, rd_wdata: fbb70000, mem_addr: fbb70000, mem_rdata: 00000000, mem_wdata: bb6fab7f
ClkCycle:         84, pc_rdata: 00000174, pc_wdata: 00000178, insn: ab7f8f93, mode: 3, rs1_addr: 31, rs1_rdata: 00000000, rs2_addr: 23, rs2_rdata: b6fab7fb, rd_addr: 31, rd_wdata: fbb6fab7, mem_addr: fbb6fab7, mem_rdata: 00000000, mem_wdata: b6fab7fb
ClkCycle:         85, pc_rdata: 00000178, pc_wdata: 0000017c, insn: 00003097, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  1, rd_wdata: 00003178, mem_addr: 00003178, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         86, pc_rdata: 0000017c, pc_wdata: 00000180, insn: e9808093, mode: 3, rs1_addr:  1, rs1_rdata: feedbead, rs2_addr: 24, rs2_rdata: db7d5bfd, rd_addr:  1, rd_wdata: 00003010, mem_addr: 00003010, mem_rdata: 00000000, mem_wdata: db7d5bfd
ClkCycle:         87, pc_rdata: 00000180, pc_wdata: 00000184, insn: 54f4be37, mode: 3, rs1_addr:  9, rs1_rdata: adfeedbe, rs2_addr: 15, rs2_rdata: fab7fbb6, rd_addr: 28, rd_wdata: 54f4b000, mem_addr: 54f4b000, mem_rdata: 00000000, mem_wdata: fab7fbb6
ClkCycle:         88, pc_rdata: 00000184, pc_wdata: 00000188, insn: eebe0e13, mode: 3, rs1_addr: 28, rs1_rdata: ddb7d5bf, rs2_addr: 11, rs2_rdata: ab7fbb6f, rd_addr: 28, rd_wdata: 54f4aeeb, mem_addr: 54f4aeeb, mem_rdata: 00000000, mem_wdata: ab7fbb6f
ClkCycle:         89, pc_rdata: 00000188, pc_wdata: 0000018c, insn: f4bcff37, mode: 3, rs1_addr: 25, rs1_rdata: edbeadfe, rs2_addr: 11, rs2_rdata: ab7fbb6f, rd_addr: 30, rd_wdata: f4bcf000, mem_addr: f4bcf000, mem_rdata: 00000000, mem_wdata: ab7fbb6f
ClkCycle:         90, pc_rdata: 0000018c, pc_wdata: 00000190, insn: 4a7f0f13, mode: 3, rs1_addr: 30, rs1_rdata: f76df56f, rs2_addr:  7, rs2_rdata: b7fbb6fa, rd_addr: 30, rd_wdata: f4bcf4a7, mem_addr: f4bcf4a7, mem_rdata: 00000000, mem_wdata: b7fbb6fa
ClkCycle:         91, pc_rdata: 00000190, pc_wdata: 00000194, insn: 01ee09b3, mode: 3, rs1_addr: 28, rs1_rdata: 54f4aeeb, rs2_addr: 30, rs2_rdata: f76df56f, rd_addr: 19, rd_wdata: 49b1a392, mem_addr: 49b1a392, mem_rdata: 00000000, mem_wdata: f4bcf4a7
ClkCycle:         92, pc_rdata: 00000194, pc_wdata: 00000198, insn: 0130a023, mode: 3, rs1_addr:  1, rs1_rdata: 00003010, rs2_addr: 19, rs2_rdata: 6fab7fbb, rd_addr:  0, rd_wdata: 00003010, mem_addr: 00003010, mem_rdata: 00000000, mem_wdata: 49b1a392
